,Entity,Year,Records,Sources,Method_Organization type_joined
0,21st Century Oncology,2016,2200000,[5][6],"hacked,healthcare"
102,Equifax,2017,163119000,[128][129],"poor security,financial, credit reporting"
182,Michaels,2014,3000000,[239],"hacked,retail"
190,MongoDB,2019,275000000,[248],"poor security,tech"
144,Home Depot,2014,56000000,[196],"hacked,retail"
197,NASDAQ,2014,1750000,[253],"hacked,financial"
188,Mitsubishi Tokyo UFJ Bank,2006,960000,[151],"intentionally lost,financial"
72,Centers for Medicare & Medicaid Services,2018,75000,[94],"hacked,healthcare"
263,Stratfor,2011,935000,[316],"accidentally published,military"
17,AOL,2014,2400000,[31],"hacked,web"
145,Honda Canada,2011,283000,[197],"poor security,retail"
316,National Archives and Records Administration (U.S. military veterans records),2009,76000000,[372],"lost / stolen media,military"
155,"Jefferson County, West Virginia",2008,1600000,[36][211],"accidentally published,government"
36,Benesse,2014,35040000,[51],"hacked,educational services"
78,"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",2008,8000000,[101],"hacked,financial"
84,Desjardins,2019,9700000,[109],"inside job,financial"
313,U.S. Department of Veteran Affairs,2006,26500000,[366],"lost / stolen computer,government, military"
260,State of Texas,2011,3500000,[313],"accidentally published,government"
138,Health Sciences Authority (Singapore),2019,808000,[186],"poor security,healthcare"
206,Nexon Korea Corp,2011,13200000,[262],"hacked,web"
272,TD Bank,2012,260000,[329][330],"hacked,financial"
274,Tetrad,2020,120000000,[333],"poor security,market analysis"
180,Medical Informatics Engineering,2015,3900000,[237],"hacked,healthcare"
38,Bethesda Game Studios,2011,200000,[52],"hacked,gaming"
337,Writerspace.com,2011,62000,[393],"hacked,web"
214,Ofcom,2016,1750000,[269],"inside job,telecom"
64,City and Hackney Teaching Primary Care Trust,2007,160000,[86],"lost / stolen media,healthcare"
69,Compass Bank,2007,1000000,[36][92],"inside job,financial"
131,Grozio Chirurgija,2017,25000,[173][174][175],"hacked,healthcare"
345,Zappos,2012,24000000,[405],"hacked,web"
257,Stanford University,2008,72000,[36][310],"lost / stolen computer,academic"
310,U.S. Army,2011,50000,[36],"accidentally published,military"
181,Memorial Healthcare System,2011,102153,[238][124],"lost / stolen media,healthcare"
149,Internal Revenue Service,2015,720000,[202][203],"hacked,financial"
221,Patreon,2015,2300000,[275],"hacked,web"
107,Experian - T-Mobile US,2015,15000000,[136][137],"hacked,telecoms"
203,New York City Health & Hospitals Corp.,2010,1700000,[124],"lost / stolen media,healthcare"
204,New York State Electric & Gas,2012,1800000,[36],"inside job,energy"
296,UK Home Office,2008,84000,[354],"lost / stolen media,government"
71,Countrywide Financial Corp,2011,2500000,[93],"inside job,financial"
252,South Africa police,2013,16000,[307],"hacked,government"
103,European Central Bank,2014,1750000,[130][131],"hacked,financial"
56,Central Hudson Gas & Electric,2013,110000,[78],"hacked,web"
29,"AvMed, Inc.",2009,1220000,[43],"lost / stolen computer,healthcare"
178,Massive American business hack including 7-Eleven and Nasdaq,2012,160000000,[236],"hacked,financial"
111,Facebook,2019,540000000,[146][147],"poor security,social network"
146,Hyatt Hotels,2015,1750000,[198][199],"hacked,hotel"
303,"University of Maryland, College Park",2014,300000,[361],"hacked,academic"
88,Dropbox,2012,68648009,[113],"hacked,web"
110,Facebook,2018,50000000,[140][141][142][143][144][145],"poor security,social network"
27,Australian National University,2019,1750000,[41],"hacked,academic"
251,Sony PlayStation Network,2011,77000000,[306],"hacked,gaming"
135,HauteLook,2018,28517244,[181][182][183],"hacked,retail"
261,Steam,2011,35000000,[314],"hacked,web"
259,Starwoodincluding Westin Hotels & Resorts and Sheraton Hotels and Resorts,2015,1750000,[311][312],"hacked,hotel"
327,Walmart,2015,1300000,[97],"hacked,retail"
294,Ubuntu,2013,2000000,[352],"hacked,tech"
24,Atraf,2021,1750000,[38],"hacked,dating"
4,Advocate Medical Group,2017,4000000,[13][14],"lost / stolen media,healthcare"
8,Air Canada,2018,20000,[19],"hacked,transport"
243,SingHealth,2018,1500000,[297],"hacked,government, database"
320,Verizon Communications,2016,1500000,[375],"hacked,telecoms"
223,Popsugar,2018,123857,[277],"hacked,fashion"
325,Vodafone,2013,2000000,[379],"inside job,telecoms"
291,Uber,2014,50000,[349],"poor security,tech"
172,Living Social,2013,50000000,[229][230],"hacked,web"
332,Weebly,2016,43430316,[386][387],"hacked,web"
147,Iberdrola,2022,1300000,[200],"poor security,energy"
152,"Iranian banks (three: Saderat, Eghtesad Novin, and Saman)",2012,3000000,[208],"hacked,financial"
284,Truecaller,2019,299055000,[341][342],"unknown,Telephone directory"
230,RBS Worldpay,2008,1500000,[283],"hacked,financial"
349,50 companies and government institutions,2022,6400000,[410] [411],"poor security,various"
11,Ancestry.com,2021,300000,[23],"poor security,web"
305,University of Miami,2008,2100000,[36],"lost / stolen computer,academic"
14,Anthem Inc.,2015,80000000,[26][27],"hacked,healthcare"
338,Xat.com,2015,6054459,[394],"social engineering,web"
104,Evernote,2013,50000000,[132][133],"hacked,web"
177,Massachusetts Government,2011,210000,[36],"poor security,government"
76,CyberServe,2021,1107034,[98][99],"hacked,hosting provider"
12,Animal Jam,2020,46000000,[24],"hacked,gaming"
238,Scribd,2013,500000,[291][292],"hacked,web"
16,AOL,2006,20000000,[30],"accidentally published,web"
299,Universiti Teknologi MARA,2019,1164540,[357],"hacked,academic"
236,San Francisco Public Utilities Commission,2011,180000,[289],"hacked,government"
193,Morgan Stanley Smith Barney,2011,34000,[36],"lost / stolen media,financial"
212,Norwegian Tax Administration,2008,3950000,[267],"accidentally published,government"
292,Uber,2017,57000000,[350],"hacked,transport"
122,Formspring,2012,420000,[161],"accidentally published,web"
101,Emory Healthcare,2012,315000,[124],"poor security,healthcare"
50,Capcom,2020,350000,[70],"hacked,game"
28,Automatic Data Processing,2005,125000,[42],"poor security,financial"
77,Dai Nippon Printing,2007,8637405,[100],"inside job,retail"
280,"T-Mobile, Deutsche Telekom",2006,17000000,[338][339],"lost / stolen media,telecoms"
65,Clearview AI,2020,1750000,[87][88][89],"hacked,information technology"
213,Now:Pensions,2020,30000,[268],"rogue contractor,financial"
92,Dun & Bradstreet,2013,1000000,[117][118],"hacked,tech"
300,Under Armour,2018,150000000,[358],"hacked,Consumer Goods"
228,Rakuten,2020,1381735,[276],"improper setting, hacked,web"
6,"Affinity Health Plan, Inc.",2013,344579,[16][17],"lost / stolen media,healthcare"
55,Central Coast Credit Union,2016,60000,[77],"hacked,financial"
97,Eisenhower Medical Center,2011,514330,[124],"lost / stolen computer,healthcare"
129,Google Plus,2018,500000,[169][170][171],"poor security,social network"
59,China Software Developer Network,2011,6000000,[81],"hacked,web"
115,Federal Reserve Bank of Cleveland,2010,400000,[36],"hacked,financial"
120,Friend Finder Networks,2016,412214295,[157][158],"poor security / hacked,web"
298,UK Revenue & Customs,2007,25000000,[356],"lost / stolen media,government"
9,Amazon Japan G.K.,2019,1750000,[20][21],"accidentally published,web"
132,GS Caltex,2008,11100000,[176][177],"inside job,energy"
139,Health Service Executive,2021,1750000,[187],"unknown,healthcare"
286,Tumblr,2013,65469298,[345],"hacked,web"
285,Trump Hotels,2014,1750000,[343][344],"hacked,hotel"
162,Koodo Mobile,2020,1750000,[218],"hacked,mobile carrier"
329,Washington State court system,2013,160000,[382][383],"hacked,government"
32,Bank of America,2005,1200000,[46],"lost / stolen media,financial"
341,Yahoo Japan,2013,22000000,[402],"hacked,tech, web"
150,International Committee of the Red Cross,2022,515000,[204][205][206],"unknown,humanitarian"
5,AerServ (subsidiary of InMobi),2018,75000,[15],"hacked,advertising"
262,StockX,2019,6800000,[315],"hacked,retail"
233,RockYou!,2009,32000000,[286],"hacked,web, gaming"
211,Nival Networks,2016,1500000,[266],"hacked,gaming"
307,University of WisconsinâMilwaukee,2011,73000,[36],"hacked,academic"
334,Westpac,2019,98000,[390],"hacked,financial"
215,US Office of Personnel Management,2015,21500000,[270][271],"hacked,government"
83,US Department of Homeland Security,2016,30000,[107][108],"poor security,government"
94,eBay,2014,145000000,[121],"hacked,web"
309,UPS,2014,1750000,[364],"hacked,retail"
268,Taringa!,2017,28722877,[322],"hacked,web"
277,Tianya Club,2011,28000000,[335],"hacked,web"
326,VTech,2015,5000000,[380],"hacked,retail"
3,Adobe Inc.,2019,7500000,[11][12],"poor security,tech"
170,Lincoln Medical & Mental Health Center,2010,130495,[124][226],"lost / stolen media,healthcare"
90,DSW Inc.,2005,1400000,[115],"hacked,retail"
343,Yale University,2010,43000,[36],"accidentally published,academic"
137,Health NetÂ â IBM,2011,1900000,[185],"lost / stolen media,healthcare"
209,Nintendo (Nintendo Account),2020,160000,[265],"hacked,gaming"
347,Unknown agency(believed to be tied to United States Census Bureau),2020,200000000,[408],"accidentally published,financial"
194,Morinaga Confectionery,2022,1648922,[250],"ransomware hacked,online shopping"
242,ShopBack,2020,1750000,[296],"hacked,tech"
290,Typeform,2018,1750000,[75],"poor security,tech"
183,Microsoft,2019,250000000,[240],"data exposed by misconfiguration,tech"
333,Wendy's,2015,1750000,[388][389],"hacked,restaurant"
174,Mandarin Oriental Hotels,2014,1750000,[232][233],"hacked,hotel"
169,LifeLabs,2019,15000000,[225],"hacked,healthcare"
278,TikTok,2020,42000000,[201],"poor security,social media"
328,Washington Post,2011,1270000,[381],"hacked,media"
342,Yahoo! Voices,2012,450000,[403][404],"hacked,web"
66,Colorado government,2010,105470,[90],"lost / stolen computer,healthcare"
30,Bailey's Inc.,2015,250000,[44],"hacked,retail"
217,Ohio State University,2010,760000,[36],"hacked,academic"
96,Educational Credit Management Corporation,2010,3300000,[123],"lost / stolen media,financial"
157,JP Morgan Chase,2014,76000000,[213],"hacked,financial"
25,Auction.co.kr,2008,18000000,[39],"hacked,web"
165,KT Corporation,2012,8700000,[220][221],"hacked,telecoms"
340,Yahoo,2014,500000000,[397][398][399][400][401],"hacked,web"
297,UK Ministry of Defence,2008,1700000,[355],"lost / stolen media,government"
112,Facebook,2019,1500000,[148],"accidentally uploaded,social network"
175,Marriott International,2018,500000000,[234],"hacked,hotel"
344,YouTube,2020,4000000,[201],"poor security,social media"
235,"Sakai City, Japan",2015,680000,[288],"inside job,government"
237,Scottrade,2015,4600000,[290],"hacked,financial"
226,Quest Diagnostics,2019,11900000,[279],"poor security,Clinical Laboratory"
166,LexisNexis,2014,1000000,[117][118],"hacked,tech"
