,Unnamed: 0
0,0
102,103
182,183
190,191
144,145
197,198
188,189
72,73
263,264
17,18
145,146
316,317
155,156
36,37
78,79
84,85
313,314
260,261
138,139
206,207
272,273
274,275
180,181
38,39
337,338
214,215
64,65
69,70
131,132
345,346
257,258
310,311
181,182
149,150
221,222
107,108
203,204
204,205
296,297
71,72
252,253
103,104
56,57
29,30
178,179
111,112
146,147
303,304
88,89
110,111
27,28
251,252
135,136
261,262
259,260
327,328
294,295
24,25
4,5
8,9
243,244
320,321
223,224
325,326
291,292
172,173
332,333
147,148
152,153
284,285
230,231
349,350
11,12
305,306
14,15
338,339
104,105
177,178
76,77
12,13
238,239
16,17
299,300
236,237
193,194
212,213
292,293
122,123
101,102
50,51
28,29
77,78
280,281
65,66
213,214
92,93
300,301
228,229
6,7
55,56
97,98
129,130
59,60
115,116
120,121
298,299
9,10
132,133
139,140
286,287
285,286
162,163
329,330
32,33
341,342
150,151
5,6
262,263
233,234
211,212
307,308
334,335
215,216
83,84
94,95
309,310
268,269
277,278
326,327
3,4
170,171
90,91
343,344
137,138
209,210
347,348
194,195
242,243
290,291
183,184
333,334
174,175
169,170
278,279
328,329
342,343
66,67
30,31
217,218
96,97
157,158
25,26
165,166
340,341
297,298
112,113
175,176
344,345
235,236
237,238
226,227
166,167
68,69
35,36
199,200
41,42
53,54
319,320
47,48
15,16
315,316
205,206
187,188
99,100
148,149
128,129
266,267
184,185
198,199
37,38
126,127
113,114
339,340
179,180
95,96
123,124
82,83
73,74
125,126
85,86
348,349
216,217
154,155
196,197
192,193
241,242
185,186
159,160
1,2
318,319
105,106
109,110
106,107
336,337
58,59
201,202
151,152
245,246
140,141
167,168
191,192
202,203
52,53
210,211
171,172
168,169
283,284
323,324
160,161
118,119
116,117
220,221
269,270
141,142
18,19
161,162
246,247
89,90
247,248
124,125
312,313
93,94
62,63
117,118
45,46
158,159
254,255
10,11
207,208
301,302
63,64
324,325
250,251
13,14
79,80
281,282
267,268
282,283
54,55
186,187
130,131
304,305
44,45
173,174
275,276
19,20
156,157
346,347
295,296
164,165
287,288
87,88
311,312
